series,t_seconds,value
spillover,4730.322,0.992377
spillover,4735.831,0.992365
spillover,4744.579,0.992365
spillover,4748.547,0.992371
spillover,4755.920,0.992373
spillover,4767.108,0.992389
spillover,4771.777,0.992348
spillover,4781.315,0.992347
spillover,4790.020,0.992331
spillover,4800.937,0.992324
spillover,4804.601,0.992324
spillover,4818.238,0.992282
spillover,4829.346,0.992268
spillover,4838.762,0.992295
spillover,4841.390,0.992328
spillover,4851.151,0.992335
spillover,4860.985,0.992335
spillover,4868.950,0.992342
spillover,4877.484,0.992330
spillover,4888.835,0.992342
spillover,4896.420,0.992348
spillover,4899.129,0.992330
spillover,4907.986,0.992307
spillover,4916.123,0.992313
spillover,4923.959,0.992318
spillover,4927.851,0.992331
spillover,4934.505,0.992331
spillover,4943.927,0.992342
spillover,4951.676,0.992358
spillover,4964.349,0.992377
spillover,4970.549,0.992377
spillover,4974.545,0.992363
spillover,4981.342,0.992358
spillover,4984.067,0.992378
spillover,4992.355,0.992373
spillover,5010.988,0.992389
spillover,5018.520,0.992348
spillover,5027.791,0.992342
spillover,5037.795,0.992335
spillover,5048.681,0.992303
spillover,5055.231,0.992287
spillover,5062.552,0.992282
spillover,5074.425,0.992268
spillover,5082.257,0.992295
spillover,5087.287,0.992330
spillover,5096.468,0.992324
spillover,5104.338,0.992324
spillover,5110.826,0.992336
spillover,5118.298,0.992330
spillover,5126.713,0.992342
spillover,5131.865,0.992347
spillover,5134.904,0.992331
spillover,5145.442,0.992337
spillover,5150.003,0.992311
spillover,5157.014,0.992311
spillover,5160.641,0.992323
spillover,5168.493,0.992332
spillover,5176.549,0.992332
spillover,5185.270,0.992356
spillover,5195.811,0.992377
spillover,5200.235,0.992378
spillover,5204.233,0.992365
spillover,5213.036,0.992358
spillover,5216.377,0.992370
spillover,5222.617,0.992373
spillover,5234.006,0.992384
spillover,5238.328,0.992363
spillover,5249.078,0.992347
spillover,5257.165,0.992331
spillover,5264.129,0.992316
spillover,5270.071,0.992321
spillover,5278.057,0.992295
spillover,5286.761,0.992289
spillover,5293.008,0.992295
spillover,5296.180,0.992311
spillover,5303.759,0.992326
spillover,5312.528,0.992316
spillover,5319.122,0.992326
spillover,5326.082,0.992326
spillover,5332.620,0.992331
spillover,5338.335,0.992347
spillover,5341.614,0.992332
spillover,5348.648,0.992337
spillover,5354.138,0.992337
spillover,5361.297,0.992309
spillover,5365.071,0.992323
spillover,5371.730,0.992325
spillover,5382.178,0.992332
spillover,5390.799,0.992356
spillover,5403.866,0.992377
spillover,5408.490,0.992378
spillover,5412.777,0.992363
spillover,5420.118,0.992358
spillover,5424.665,0.992378
spillover,5434.129,0.992377
spillover,5446.858,0.992389
spillover,5449.578,0.992363
spillover,5463.300,0.992347
spillover,5470.096,0.992324
spillover,5478.567,0.992324
spillover,5485.764,0.992302
spillover,5495.094,0.992282
spillover,5502.035,0.992289
spillover,5511.941,0.992295
spillover,5515.114,0.992330
spillover,5524.123,0.992324
spillover,5533.955,0.992324
spillover,5541.546,0.992336
spillover,5547.575,0.992330
spillover,5553.899,0.992331
spillover,5559.886,0.992347
spillover,5563.790,0.992331
spillover,5572.253,0.992337
spillover,5579.098,0.992311
spillover,5589.337,0.992311
spillover,5593.347,0.992323
spillover,5599.665,0.992332
spillover,5609.554,0.992342
spillover,5617.495,0.992358
spillover,5627.109,0.992377
spillover,5634.678,0.992377
spillover,5637.518,0.992363
spillover,5646.086,0.992358
spillover,5650.385,0.992378
spillover,5657.731,0.992373
spillover,5668.106,0.992384
spillover,5671.327,0.992363
spillover,5680.241,0.992347
spillover,5688.758,0.992331
spillover,5695.780,0.992316
spillover,5701.172,0.992321
spillover,5711.004,0.992295
spillover,5719.811,0.992289
spillover,5726.057,0.992295
spillover,5730.768,0.992311
spillover,5739.779,0.992326
spillover,5749.916,0.992324
spillover,5759.713,0.992336
spillover,5767.630,0.992330
spillover,5773.159,0.992342
spillover,5780.534,0.992348
spillover,5783.051,0.992331
spillover,5790.310,0.992337
spillover,5795.348,0.992311
spillover,5802.145,0.992311
spillover,5816.477,0.992321
spillover,5824.958,0.992321
spillover,5833.475,0.992348
spillover,5842.363,0.992348
spillover,5849.345,0.992371
spillover,5853.283,0.992354
spillover,5862.658,0.992355
spillover,5866.290,0.992371
spillover,5874.888,0.992373
spillover,5887.441,0.992389
spillover,5892.661,0.992363
spillover,5904.035,0.992342
spillover,5911.810,0.992324
spillover,5920.312,0.992324
spillover,5924.056,0.992324
spillover,5932.101,0.992295
spillover,5940.483,0.992289
spillover,5948.164,0.992277
spillover,5965.486,0.992288
spillover,5975.597,0.992288
spillover,5984.778,0.992303
spillover,5992.761,0.992303
spillover,5998.503,0.992308
spillover,6004.072,0.992315
spillover,6006.875,0.992301
spillover,6014.825,0.992307
spillover,6021.776,0.992311
spillover,6028.379,0.992311
spillover,6032.131,0.992323
spillover,6040.468,0.992332
spillover,6049.334,0.992332
spillover,6058.545,0.992358
spillover,6068.482,0.992377
spillover,6076.157,0.992377
spillover,6078.723,0.992363
spillover,6088.938,0.992365
spillover,6099.328,0.992359
spillover,6117.672,0.992375
spillover,6122.657,0.992328
spillover,6138.607,0.992311
spillover,6150.299,0.992314
spillover,6159.786,0.992286
spillover,6164.872,0.992287
spillover,6172.214,0.992282
spillover,6179.813,0.992268
spillover,6187.672,0.992295
spillover,6191.459,0.992330
spillover,6199.041,0.992324
spillover,6209.047,0.992316
spillover,6218.080,0.992326
spillover,6224.575,0.992326
spillover,6231.455,0.992331
spillover,6238.671,0.992347
spillover,6243.391,0.992331
spillover,6250.873,0.992337
spillover,6257.484,0.992311
spillover,6264.475,0.992311
spillover,6269.492,0.992331
spillover,6280.347,0.992331
spillover,6288.949,0.992342
spillover,6299.173,0.992354
spillover,6312.480,0.992375
spillover,6321.540,0.992382
spillover,6325.189,0.992375
spillover,6334.561,0.992355
spillover,6338.408,0.992371
spillover,6347.318,0.992377
spillover,6355.972,0.992389
spillover,6361.734,0.992348
spillover,6376.211,0.992342
spillover,6384.284,0.992324
spillover,6394.240,0.992324
spillover,6399.077,0.992302
spillover,6405.642,0.992295
spillover,6414.490,0.992289
spillover,6422.243,0.992295
spillover,6425.583,0.992330
spillover,6432.427,0.992326
spillover,6440.421,0.992316
spillover,6447.815,0.992326
spillover,6453.843,0.992318
spillover,6459.886,0.992331
spillover,6466.074,0.992347
spillover,6469.224,0.992332
spillover,6479.792,0.992337
spillover,6484.828,0.992337
spillover,6493.342,0.992311
spillover,6498.457,0.992323
spillover,6506.242,0.992332
spillover,6516.288,0.992342
spillover,6527.102,0.992354
spillover,6542.083,0.992375
spillover,6551.061,0.992382
spillover,6554.872,0.992375
spillover,6570.085,0.992358
spillover,6572.699,0.992375
spillover,6577.408,0.992382
spillover,6588.765,0.992375
spillover,6592.768,0.992348
spillover,6605.569,0.992342
spillover,6614.982,0.992335
spillover,6622.077,0.992324
spillover,6626.916,0.992321
spillover,6636.991,0.992295
spillover,6646.596,0.992289
spillover,6654.723,0.992295
spillover,6656.730,0.992330
spillover,6663.213,0.992326
spillover,6673.974,0.992316
spillover,6678.755,0.992326
spillover,6685.442,0.992326
spillover,6692.609,0.992331
spillover,6701.630,0.992347
spillover,6705.197,0.992332
spillover,6712.782,0.992337
spillover,6718.074,0.992311
spillover,6725.644,0.992311
spillover,6729.676,0.992323
